date,time,sample type,Sample,scan,location,gross weight,observor initials/notes,QAQC initials,notes
2021-02-03T00:00:00Z,1929,CC,8,8.0,6,627.4,JB,NT,NA
2021-02-03T00:00:00Z,1824,CC,8,8.0,9,635.32,DN,NT,NA
2021-02-03T00:00:00Z,1847,CC,8,8.0,12,633,JT,NT,NA
2021-02-03T00:00:00Z,1929,CC,9,8.0,3,592.92,JT,NT,NA
2021-02-03T00:00:00Z,1824,CC,9,8.0,6,599.2,JB,NT,NA
2021-02-03T00:00:00Z,1847,CC,9,8.0,9,596.96,DN,NT,NA
2021-02-03T00:00:00Z,1906,CC,9,8.0,12,595.3,JT,NT,NA
2021-02-03T00:00:00Z,1929,CC,10,8.0,3,609.34,JT,NT,NA
2021-02-03T00:00:00Z,1824,CC,10,8.0,6,615.7,JB,NT,NA
2021-02-03T00:00:00Z,1847,CC,10,8.0,9,613.69,DN,NT,NA
2021-02-03T00:00:00Z,1906,CC,10,8.0,12,612,JT,NT,NA
2021-02-03T00:00:00Z,1929,CC,11,8.0,3,633.83,JT,NT,NA
2021-02-03T00:00:00Z,1824,CC,11,8.0,6,640.7,JB,NT,NA
2021-02-03T00:00:00Z,1847,CC,11,8.0,9,638.61,DN,NT,NA
2021-02-03T00:00:00Z,1906,CC,11,8.0,12,636.6,JT,NT,NA
2021-02-03T00:00:00Z,1929,CC,12,8.0,3,639.85,JT,NT,NA
2021-02-03T00:00:00Z,1824,CC,12,8.0,6,646.7,JB,NT,NA
2021-02-03T00:00:00Z,1847,CC,12,8.0,9,644.63,DN,NT,NA
2021-02-03T00:00:00Z,1906,CC,12,8.0,12,642.6,JT,NT,NA
2021-02-03T00:00:00Z,1825,CC,13,8.0,3,663.84,JT,NT,NA
2021-02-03T00:00:00Z,1847,CC,13,8.0,6,661.1,JB,NT,NA
2021-02-03T00:00:00Z,1906,CC,13,8.0,9,659.29,DN,NT,NA
2021-02-03T00:00:00Z,1929,CC,13,8.0,12,657.2,JT,NT,NA
2021-02-03T00:00:00Z,1825,CC,14,8.0,3,667.19,JT,NT,NA
2021-02-03T00:00:00Z,1847,CC,14,8.0,6,664.6,JB,NT,NA
2021-02-03T00:00:00Z,1906,CC,14,8.0,9,662.88,DN,NT,NA
2021-02-03T00:00:00Z,1929,CC,14,8.0,12,660.9,JT,NT,NA
